Dcu1,Dtu1,Dcd1,Dtd1,Dcu2,Dtu2,Dcd2,Dtd2,Dcu3,Dtu3,Dcd3,Dtd3,Dcu4,Dtu4,Dcd4,Dtd4,Dcu5,Dtu5,Dcd5,Dtd5
0.4509,123.5481504,102.008,-936.14638,-0.4834,108.4246192,101.0604,-929.9498588,-0.7957,119.4234536,107.6569,-1037.115838,-0.7713,118.8398968,77.8052,-906.4708852,-0.7909,96.0270448,88.9661,-903.9064324
0.4509,129.292378,102.0007,-942.566576,-0.4805,114.67194,101.0625,-933.4694924,-0.804,122.888662,107.4786,-1045.123594,-0.7463,120.3891816,77.493,-899.1454016,-0.7931,96.1091564,88.9595,-905.17531
0.4604,133.5253072,102.0015,-949.3841048,-0.467,119.0450316,100.513,-1033.982372,-0.8052,124.1290704,107.2822,-1047.302744,-0.7524,121.5479728,77.1901,-892.8302244,-0.7972,96.6942788,88.941,-898.9705076
0.4547,136.5494696,101.9853,-956.4383276,-0.4359,122.096798,100.331,-1037.459817,-0.8126,124.7482652,107.0758,-1044.799185,-0.7535,121.9347172,76.8889,-888.243964,-0.808,97.5198444,88.9253,-895.7201984
0.4549,138.5262044,101.9778,-960.9341952,-0.4348,124.658408,100.1251,-1033.566664,-0.8063,124.7462464,106.8667,-1042.485516,-0.7453,121.329036,76.581,-883.2471456,-0.8043,96.6131972,88.9107,-894.08427
0.4444,139.2245856,101.6708,-1059.847114,-0.4258,125.5784864,99.9163,-1030.397066,-0.789,124.3521272,106.6449,-1040.309538,-0.7459,121.3692472,76.2645,-878.0912128,-0.7974,97.9142932,88.9025,-895.556758
0.4588,139.4087084,101.5389,-1067.147836,-0.4132,127.3654952,99.709,-1024.776026,-0.7851,124.3552172,106.426,-1035.040347,-0.7481,121.5454184,75.9578,-874.6724368,-0.8159,113.0297904,88.866,-899.5224228
0.4534,138.768996,101.3701,-1070.001678,-0.4071,126.874144,99.4825,-1021.663943,-0.7974,124.8546848,106.2061,-1030.662517,-0.7457,121.5229644,75.6697,-871.3887968,-0.8169,114.6118704,88.8586,-897.5648048
0.4698,139.5969512,101.1803,-1066.000828,-0.4054,127.0478844,99.2634,-1016.998249,-0.793,123.9023468,105.9863,-1028.445133,-0.7427,120.6411196,75.3402,-866.5445832,-0.8067,115.7129816,88.8317,-899.60301
0.4734,139.1246756,100.9858,-1062.734534,-0.3982,127.1708664,99.0396,-1014.122571,-0.7967,124.021044,105.7665,-1026.976106,-0.7549,120.9119684,75.0297,-863.8262896,-0.8046,115.215574,88.1225,-1094.976253
0.4815,135.600098,100.8038,-1056.540814,-0.3874,127.68084,98.819,-1010.800409,-0.796,123.5787208,105.5523,-1022.967634,-0.7536,121.5288972,74.7135,-859.2295644,-0.8041,114.8636024,88.0079,-1097.051991
0.5022,134.6378308,100.5952,-1053.447559,-0.3747,128.4441524,98.5895,-1007.545568,-0.7904,123.54642,105.3351,-1021.567864,-0.7451,120.4796156,74.4056,-855.9094624,-0.8069,114.4935028,87.8834,-1097.968897
0.5095,134.8252084,100.3963,-1048.542988,-0.3683,128.6691456,98.365,-1006.730591,-0.7983,124.6469544,105.1265,-1020.037037,-0.7471,120.623486,74.0762,-851.4172204,-0.7934,114.4415496,87.7707,-1098.00643
0.5185,136.0567588,100.1874,-1044.799473,-0.3596,129.563474,98.1378,-1002.004745,-0.7865,122.9324576,104.9121,-1016.295212,-0.7424,120.7069984,73.749,-849.3110352,-0.7977,114.5464448,87.6486,-1095.22094
0.5432,136.2387392,99.9808,-1042.333035,-0.3738,131.339606,97.8948,-1000.150209,-0.7977,124.847104,104.6843,-1014.987895,-0.7433,120.8176204,73.4406,-845.2120472,-0.8019,113.8237556,87.5017,-1094.709153
0.555,136.7576532,99.7704,-1039.427735,-0.3685,132.954028,97.6688,-997.7782016,-0.7916,122.1327656,104.4549,-1011.882527,-0.7475,120.3489292,73.1201,-840.0268212,-0.8016,113.7656636,87.3617,-1089.616256
0.5514,137.376642,99.5534,-1037.594829,-0.372,133.8060028,97.4318,-994.8483872,-0.4889,98.9439636,104.2406,-1009.833239,-0.7507,120.8203396,72.7935,-837.5534204,-0.7979,113.9235008,87.2113,-1087.783392
0.5673,138.1816076,99.3466,-1032.930824,-0.3713,134.0270408,97.1992,-994.4232856,-0.4755,106.0756836,104.0139,-1006.82189,-0.7469,119.4629644,72.4557,-833.7958568,-0.806,113.5900692,87.0639,-1082.152918
0.5668,138.4829856,99.1384,-1031.453269,-0.3721,133.8618288,96.9755,-991.228514,-0.444,109.8753536,103.7882,-1005.051444,-0.7506,122.6040524,72.1166,-828.9481412,-0.7983,114.5347852,86.9251,-1078.865693
0.5769,139.8448928,98.9282,-1026.65042,-0.3768,134.7131856,96.717,-989.2291192,-0.4291,112.2625228,103.5564,-1002.241562,-0.7271,108.0503584,71.7743,-823.9982908,-0.8036,114.1189948,86.7739,-1075.568045
0.5875,139.5124912,98.7039,-1023.796455,-0.3763,133.0819128,96.4797,-986.2073464,-0.4283,115.5077644,103.3332,-999.4097628,-0.7326,106.259724,71.4321,-819.66574,-0.8097,115.6983968,86.6248,-1071.715763
0.5922,143.5221576,98.5045,-1022.133705,-0.3792,135.2469728,96.2435,-985.6583152,-0.4023,116.3338244,103.1167,-998.52009,-0.7422,104.811132,71.0793,-813.1150224,-0.8066,113.4076768,86.4618,-1068.826819
0.5513,125.4910188,98.2939,-1018.269434,-0.3981,117.4557004,96.0096,-982.8844016,-0.3951,117.9728428,102.8886,-996.264802,-0.7381,104.1785884,70.7418,-808.8723288,-0.7743,98.397116,86.2927,-1064.345577
