Time,,,ueWrenA1,ueWrenA2,ueWrenB1,ueWrenB2,Pressure,EX1629_TIME_252,
ID,,,EX1629_25200,EX1629_25201,EX1629_25202,EX1629_25203,EX1629_25247,EX1629_TIME_252,
Unit,,,uStrain,uStrain,uStrain,uStrain,psi,s,
RangeMax,,,1706,1706,1706,1706,9500,1100,
RangeMin,,,-1706,-1706,-1706,-1706,-9500,-210,
ThreeFactorial,,,0,0,0,0,0,0,
TwoFactorial,,,0,0,0,0,0,0,
PrefixGain,,,1,1,1,1,1,1,
PrefixOffset,,,0,0,0,0,0,0,
Slope,,,1,1,1,1,1,1,
Offset,,,0,0,0,0,0,0,
ZeroValue,,,-0.186857,-1.42384,1.06115,-1.25018,-119.155,107.636,
Datetime,Second,Time,,,,,,,
2/6/2020 15:13,12.845,16,-10.6223,-30.1819,36.1929,14.6632,-2.018,137.472,2001
2/6/2020 15:13,12.853,16.008,-9.8249,-29.3612,36.5909,15.6903,-1.7567,137.48,2002
2/6/2020 15:13,12.861,16.016,-10.5225,-30.308,36.1251,14.8547,-2.6429,137.488,2003
2/6/2020 15:13,12.869,16.024,-9.8129,-29.5934,36.816,15.6253,-2.9799,137.496,2004
2/6/2020 15:13,12.877,16.032,-10.5095,-30.3108,36.3987,14.7738,-2.5131,137.504,2005
2/6/2020 15:13,12.885,16.04,-9.8148,-29.6877,36.9441,15.5105,-1.6743,137.512,2006
2/6/2020 15:13,12.893,16.048,-10.4654,-30.3501,36.5582,14.8206,0.6124,137.52,2007
2/6/2020 15:13,12.901,16.056,-9.7516,-29.4773,36.5662,15.2932,-0.0465,137.528,2008
2/6/2020 15:13,12.909,16.064,-10.2305,-29.931,36.081,14.785,-1.706,137.536,2009
2/6/2020 15:13,12.917,16.072,-9.7654,-29.5295,36.4516,15.2856,-1.4449,137.544,2010
2/6/2020 15:13,12.925,16.08,-10.3224,-30.1515,36.4143,15.0716,-0.0864,137.552,2011
2/6/2020 15:13,12.933,16.088,-10.3696,-30.1398,36.7664,15.5441,-0.0713,137.56,2012
2/6/2020 15:13,12.941,16.096,-10.2739,-30.0822,36.5944,15.2304,-1.1271,137.568,2013
2/6/2020 15:13,12.949,16.104,-9.9431,-29.8498,36.0926,15.0133,-1.9142,137.576,2014
2/6/2020 15:13,12.957,16.112,-9.7223,-29.6442,36.2068,14.913,-1.199,137.584,2015
2/6/2020 15:13,12.965,16.12,-9.9578,-30.0924,36.2753,14.9236,0.4173,137.592,2016
2/6/2020 15:13,12.973,16.128,-10.1535,-29.9357,36.8958,15.4868,-0.1598,137.6,2017
2/6/2020 15:13,12.981,16.136,-10.6179,-30.5055,36.7287,15.2904,-0.0531,137.608,2018
2/6/2020 15:13,12.989,16.144,-10.1423,-30.1195,37.0868,15.7358,-0.0488,137.616,2019
2/6/2020 15:13,12.997,16.152,-10.5581,-30.376,36.4624,14.8971,-0.2433,137.624,2020
2/6/2020 15:13,13.005,16.16,-9.8432,-29.689,36.9108,15.6566,-0.552,137.632,2021
2/6/2020 15:13,13.013,16.168,-10.6137,-30.3309,36.3841,14.9404,0.1529,137.64,2022
2/6/2020 15:13,13.021,16.176,-9.7036,-29.5276,36.5722,15.4374,-0.8256,137.648,2023
2/6/2020 15:13,13.029,16.184,-10.2669,-29.9463,35.6674,14.3697,-2.9061,137.656,2024
2/6/2020 15:13,13.037,16.192,-9.6976,-29.3487,36.2996,15.3694,-3.3901,137.664,2025
2/6/2020 15:13,13.045,16.2,-10.4421,-30.2069,35.7531,14.5424,-3.5695,137.672,2026
2/6/2020 15:13,13.053,16.208,-9.3784,-29.133,36.0446,15.1459,-1.6051,137.68,2027
2/6/2020 15:13,13.061,16.216,-9.7442,-29.6602,35.1233,13.9036,-2.0199,137.688,2028
2/6/2020 15:13,13.069,16.224,-8.9589,-28.7606,35.64,14.7973,-2.1231,137.696,2029
2/6/2020 15:13,13.077,16.232,-9.8959,-29.7288,35.3408,13.9954,-0.8951,137.704,2030
2/6/2020 15:13,13.085,16.24,-9.2483,-29.086,35.9789,15.046,-1.5442,137.712,2031
2/6/2020 15:13,13.093,16.248,-9.9709,-29.7781,35.3858,14.3024,-1.9553,137.72,2032
2/6/2020 15:13,13.101,16.256,-9.481,-29.4647,36.0164,15.0451,-3.3341,137.728,2033
2/6/2020 15:13,13.109,16.264,-10.0724,-29.8915,35.8083,14.5704,-2.1467,137.736,2034
2/6/2020 15:13,13.117,16.272,-9.5418,-29.5014,36.0593,15.0445,-1.5602,137.744,2035
2/6/2020 15:13,13.125,16.28,-9.7432,-29.7926,35.9615,14.3877,-3.1739,137.752,2036
2/6/2020 15:13,13.133,16.288,-9.5462,-29.4768,35.9329,14.6976,-4.0751,137.76,2037
2/6/2020 15:13,13.141,16.296,-9.7422,-29.8239,36.0757,14.7558,-2.2154,137.768,2038
2/6/2020 15:13,13.149,16.304,-9.6899,-29.7742,36.0244,14.7393,-1.8559,137.776,2039
2/6/2020 15:13,13.157,16.312,-9.5165,-29.6993,36.1213,14.7418,-2.3148,137.784,2040
