,Dc,Dt,NSpc,NSt,Sc,St,Wc,Wt
5111,,,0.046,2.59225915,,,,
5112,,,0.0347,2.617728585,,,,
5114,,,0.0465,2.64834741,,,,
5115,,,0.0425,2.642203931,,,,
5118,,,0.0377,2.675196292,,,,
5121,,,0.0337,2.6503976000000002,,,,
5122,,,0.0412,2.661542675,,,,
5124,,,0.0516,2.697830633,,,,
5125,,,0.0399,2.7314226919999998,,,,
5126,,,0.0437,2.723634135,,,,
5127,,,0.0408,2.729500058,,,,
5128,,,0.0371,2.723286157,,,,
5129,,,0.049,2.70404625,,,,
5130,,,0.0511,2.709902581,,,,
5131,,,0.065,2.7035476569999997,,,,
5132,,,0.0585,2.703123275,,,,
5133,,,0.0599,2.69427748,,,,
5134,,,0.0488,2.708628562,,,,
5135,,,0.0547,2.706471731,,,,
5136,,,0.0579,2.820894555,,,,
5137,,,0.0457,2.9860657489999998,,,,
5138,,,0.0611,2.89486187,,,,
5139,,,0.0625,2.937322665,,,,
5140,,,0.06,2.9320161330000003,,,,
5141,,,0.0592,2.9307836110000003,,,,
5142,,,0.0577,2.936470163,,,,
5143,,,0.0596,2.950414835,,,,
5144,,,0.0576,2.982052882,,,,
5145,,,0.0592,2.967245012,,,,
5146,,,0.0728,2.9784661860000003,,,,
5147,,,0.0667,2.981590476,,,,
5148,,,0.0588,2.97653735,,,,
5149,,,0.0515,2.974046745,,,,
5150,,,0.0571,2.979704765,,,,
5151,,,0.0674,2.9720947339999997,,,,
5152,,,0.0673,2.967442014,,,,
5153,,,0.0718,2.96824692,,,,
5154,,,0.0687,2.970816718,,,,
5155,,,0.0661,2.940067867,,,,
5156,,,0.064,2.9439684919999998,,,,
5157,,,0.0444,2.950662217,,,,
5158,,,0.0584,2.959723924,,,,
5159,,,0.0403,2.957522206,,,,
5160,,,0.0607,2.963503099,,,,
5161,,,0.0582,2.979761489,,,,
5162,,,0.061,2.9730195189999997,,,,
5163,,,0.0685,2.993471975,,,,
5164,,,0.0597,3.004394988,,,,
5165,,,0.0609,2.9981069280000003,,,,
5166,,,0.0626,2.999072061,,,,
5167,,,0.0599,2.9982046839999996,,,,
5168,,,0.0439,2.97200518,,,,
5169,,,0.0537,2.986449732,,,,
