cs_tt,cs_ft,cs_tl,cs_fl,d_tt,d_ft,d_tl,d_fl,wd_tt,wd_ft,wd_tl,wd_fl,w_tt,w_ft,w_tl,w_fl,ns_tt,ns_ft,ns_tl,ns_fl
9.7296,-44.4,-720.738,9127.8,5.382,-57.4,-852.534,7254.9,6.408,-57.4,-888.7728,5225.4,6.2964,-50.1,-709.4976,8577.6,17.8236,-2.7,-780.7776,8525.1
10.1208,-48.2,-724.5588,9112.1,5.7732,-55.5,-852.96,7244.6,6.5616,-45.4,-890.9304,5210,6.4344,-52.2,-710.0304,8568.4,18.0024,-4.8,-781.5132,8505.2
10.014,-42.7,-729.1104,9112.7,5.784,-57.1,-852.246,7229.3,6.6888,-45.7,-891.6576,5215.8,6.9684,-52,-709.4436,8555.8,18.4464,9.3,-780.4092,8462.5
9.918,-43.9,-733.5108,9088.8,5.9496,-60.6,-850.59,7219.4,6.7488,-48.6,-891.6936,5211.7,6.5376,-48.2,-709.026,8542.1,18.7848,2.4,-779.2236,8438.5
9.75,-37.2,-737.538,9088.3,6.0408,-50.9,-848.7924,7194.3,6.2652,-53.3,-890.4756,5199.7,6.4368,-38.3,-708.2328,8544.3,18.6732,20.5,-777.3288,8392.1
9.6588,-37.6,-741.8868,9071.9,6.1968,-51,-846.6804,7188.3,6.8232,-41.7,-888.6504,5183.2,6.3612,-46.6,-707.4012,8529,18.7908,13.9,-774.8292,8341.8
9.9552,-35.4,-745.7604,9048.9,6.078,-46.2,-844.9884,7172.5,6.5244,-47.5,-886.8528,5170,6.288,-46.6,-706.476,8513.7,18.9408,10.4,-772.2324,8301.3
10.1376,-29.8,-748.4436,9036.4,5.8056,-57.6,-843.4356,7147.8,6.1284,-48,-884.5596,5164,6.2004,-45.4,-705.2904,8498.7,18.8748,17.8,-769.2336,8235.2
10.3176,-44.2,-751.242,9014.9,5.7972,-54.8,-842.3904,7132.3,6.2964,-50.8,-883.038,5149.9,6.0768,-41.9,-704.184,8486.2,19.848,12.3,-765.1524,8171.3
10.2576,-40,-754.0656,8992.5,6.4464,-48.8,-842.238,7099.2,6.7272,-53.5,-880.6188,5134,6.822,-39.4,-702.3996,8474.5,20.0208,16.1,-760.0284,8116.8
10.1088,-35.6,-755.9292,8966.4,6.0156,-43.7,-841.3896,7086.8,6.7512,-47.7,-876.6552,5107.2,7.0092,-43.8,-700.6848,8455,20.502,16.8,-753.678,8043
